Sample Number	Data
156	"Humidity: 60.40 %, Temp: 29.00 Celsius"
157	"Humidity: 60.00 %, Temp: 29.00 Celsius"
158	"Humidity: 59.70 %, Temp: 29.00 Celsius"
159	"Humidity: 59.50 %, Temp: 29.00 Celsius"
160	"Humidity: 59.40 %, Temp: 29.00 Celsius"
161	"Humidity: 59.20 %, Temp: 29.00 Celsius"
162	"Humidity: 59.10 %, Temp: 29.00 Celsius"
163	"Humidity: 59.00 %, Temp: 29.00 Celsius"
164	"Humidity: 58.90 %, Temp: 29.00 Celsius"
165	"Humidity: 58.90 %, Temp: 29.00 Celsius"
166	"Humidity: 58.70 %, Temp: 28.90 Celsius"
167	"Humidity: 58.70 %, Temp: 28.90 Celsius"
168	"Humidity: 58.70 %, Temp: 28.90 Celsius"
169	"Humidity: 58.70 %, Temp: 28.90 Celsius"
170	"Humidity: 58.60 %, Temp: 28.90 Celsius"
171	"Humidity: 58.60 %, Temp: 28.90 Celsius"
172	"Humidity: 58.60 %, Temp: 28.90 Celsius"
173	"Humidity: 58.50 %, Temp: 28.80 Celsius"
174	"Humidity: 58.50 %, Temp: 28.80 Celsius"
175	"Humidity: 58.50 %, Temp: 28.80 Celsius"
176	"Humidity: 58.50 %, Temp: 28.80 Celsius"
177	"Humidity: 58.40 %, Temp: 28.80 Celsius"
178	"Humidity: 58.50 %, Temp: 28.80 Celsius"
179	"Humidity: 58.50 %, Temp: 28.80 Celsius"
180	"Humidity: 58.50 %, Temp: 28.70 Celsius"
181	"Humidity: 58.60 %, Temp: 28.80 Celsius"
182	"Humidity: 58.50 %, Temp: 28.70 Celsius"
183	"Humidity: 58.50 %, Temp: 28.70 Celsius"
184	"Humidity: 58.50 %, Temp: 28.70 Celsius"
185	"Humidity: 58.50 %, Temp: 28.70 Celsius"
186	"Humidity: 58.60 %, Temp: 28.70 Celsius"
187	"Humidity: 58.60 %, Temp: 28.70 Celsius"
188	"Humidity: 58.60 %, Temp: 28.60 Celsius"
189	"Humidity: 58.70 %, Temp: 28.70 Celsius"
190	"Humidity: 58.60 %, Temp: 28.60 Celsius"
191	"Humidity: 58.70 %, Temp: 28.60 Celsius"
192	"Humidity: 58.80 %, Temp: 28.60 Celsius"
193	"Humidity: 58.80 %, Temp: 28.60 Celsius"
194	"Humidity: 58.80 %, Temp: 28.60 Celsius"
195	"Humidity: 58.80 %, Temp: 28.60 Celsius"
196	"Humidity: 58.80 %, Temp: 28.60 Celsius"
197	"Humidity: 58.80 %, Temp: 28.60 Celsius"
